"Jour","Produit","Prix TVA incl."
"26MAR21","Essence 95 RON E10 (€/L)",1.471
"26MAR21","Essence 98 RON E5 (€/L)",1.531
"26MAR21","Diesel B7 (€/L)",1.483
"26MAR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.57
"26MAR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.599
"27MAR21","Essence 95 RON E10 (€/L)",1.471
"27MAR21","Essence 98 RON E5 (€/L)",1.531
"27MAR21","Diesel B7 (€/L)",1.483
"27MAR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.554
"27MAR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.583
"28MAR21","Essence 95 RON E10 (€/L)",1.471
"28MAR21","Essence 98 RON E5 (€/L)",1.531
"28MAR21","Diesel B7 (€/L)",1.483
"28MAR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.554
"28MAR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.583
"29MAR21","Essence 95 RON E10 (€/L)",1.471
"29MAR21","Essence 98 RON E5 (€/L)",1.531
"29MAR21","Diesel B7 (€/L)",1.483
"29MAR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.554
"29MAR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.583
"30MAR21","Essence 95 RON E10 (€/L)",1.471
"30MAR21","Essence 98 RON E5 (€/L)",1.531
"30MAR21","Diesel B7 (€/L)",1.483
"30MAR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.575
"30MAR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.604
"31MAR21","Essence 95 RON E10 (€/L)",1.471
"31MAR21","Essence 98 RON E5 (€/L)",1.531
"31MAR21","Diesel B7 (€/L)",1.483
"31MAR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.569
"31MAR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.599
"01APR21","Essence 95 RON E10 (€/L)",1.498
"01APR21","Essence 98 RON E5 (€/L)",1.57
"01APR21","Diesel B7 (€/L)",1.485
"01APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.586
"01APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.615
"02APR21","Essence 95 RON E10 (€/L)",1.498
"02APR21","Essence 98 RON E5 (€/L)",1.57
"02APR21","Diesel B7 (€/L)",1.485
"02APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.585
"02APR21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.615
"03APR21","Essence 95 RON E10 (€/L)",1.498
"03APR21","Essence 98 RON E5 (€/L)",1.57
"03APR21","Diesel B7 (€/L)",1.485
"03APR21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.578
